#label len H_moment C C_dens A_index Aro B_index H_ratio I_index Iep Helix
-1 4 1.0726 1 0.00449014 50 0 4.2125 0.5 7.5 11.4004 0
-1 30 0.0723619 0 -0.000130545 87.6667 0.0666667 0.188333 0.5 31.0533 5.75 0
1 12 0.0767864 4 0.00337826 178.333 0 3.045 0.583333 25.2167 12.5845 0.5
1 19 0.200224 5 0.00228983 56.3158 0.0526316 3.22 0.157895 28.1632 12.1196 0
1 30 0.326537 6 0.0021765 49.3333 0.1 0.658667 0.366667 14.22 11.1519 0.566667
1 20 0.181077 0 0.00044286 107.5 0.1 -0.1775 0.5 24.12 8.68066 0.15
-1 12 0.587856 1 0.00127173 162.5 0.166667 0.498333 0.5 45.7833 10.0669 0.666667
-1 44 0.156873 1 0.000351836 44.3182 0.113636 1.68091 0.340909 36.8955 7.83057 0.113636
-1 37 0.429097 -2 -0.000698663 100.811 0.0810811 2.18324 0.459459 44.0378 4.32642 0.918919
-1 28 0.436531 0 -0.000278178 55.7143 0.107143 3.1475 0.178571 60.0964 4.88379 0.785714
1 13 0.382383 2 0.00161618 22.3077 0.461538 0.952308 0.153846 28.6692 11.5723 0
1 28 0.155487 1 0.000498462 76.4286 0.0714286 1.33536 0.428571 3.40357 7.82666 0
1 43 0.149712 0 0.00014554 34.186 0.139535 1.44186 0.348837 29.0884 7.52588 0
1 36 0.402998 12 0.00310956 102.778 0.0555556 2.10028 0.333333 27.2806 12.4399 0.416667
-1 5 0.867837 2 0.00360538 0 0.4 6.146 0 237.12 12.1309 0
-1 9 0.318792 -2 -0.00263175 33.3333 0 1.54667 0.333333 36.3111 2.8457 0
-1 13 0.541144 0 0.000229196 142.308 0.153846 -0.0407692 0.384615 82.4231 8.01562 0
1 33 0.263054 3 0.0010903 94.2424 0.0606061 0.783939 0.454545 0.736364 10.0654 0.242424
1 22 0.12147 4 0.00162212 66.3636 0.0909091 2.51318 0.227273 1.44091 11.8516 0
-1 31 0.182597 2 0.000897499 107.097 0.0322581 0.275484 0.451613 -13.6065 9.5835 0.483871
1 12 0.638558 4 0.00282577 130 0.0833333 1.02833 0.333333 11.0667 11.6768 0.416667
-1 4 0.232935 3 0.00680892 0 0 10.235 0 170.5 12.1562 0
-1 15 0.893717 6 0.00338873 90.6667 0.2 5.39867 0.466667 178.867 12.8784 0.6
